Technology,Variable,Hour,Value
Wind Power plant 1,G_elec,309,100.0
Wind Power plant 1,G_elec,310,100.0
Wind Power plant 1,G_elec,311,100.0
Wind Power plant 1,G_elec,312,100.0
Wind Power plant 1,G_elec,313,100.0
Wind Power plant 1,G_elec,314,100.0
Wind Power plant 1,G_elec,315,100.0
Wind Power plant 1,G_elec,316,100.0
Wind Power plant 1,G_elec,317,100.0
Wind Power plant 1,G_elec,318,100.0
Wind Power plant 1,G_elec,319,100.0
Wind Power plant 1,G_elec,320,100.0
Wind Power plant 1,G_elec,321,100.0
Wind Power plant 1,G_elec,322,100.0
Wind Power plant 1,G_elec,323,100.0
Wind Power plant 1,G_elec,324,100.0
Wind Power plant 1,G_elec,325,100.0
Wind Power plant 1,G_elec,326,100.0
Wind Power plant 1,G_elec,327,100.0
Wind Power plant 1,G_elec,328,100.0
Wind Power plant 1,G_elec,329,100.0
Wind Power plant 1,G_elec,330,100.0
Wind Power plant 1,G_elec,331,100.0
Wind Power plant 1,G_elec,332,100.0
Wind Power plant 1,G_elec,333,100.0
Wind Power plant 1,G_elec,334,100.0
Wind Power plant 1,G_elec,335,100.0
Wind Power plant 1,G_elec,336,100.0
Wind Power plant 1,G_elec,337,100.0
Wind Power plant 1,G_elec,338,100.0
Wind Power plant 1,G_elec,339,100.0
Wind Power plant 1,G_elec,340,100.0
Wind Power plant 1,G_elec,341,100.0
Wind Power plant 1,G_elec,342,100.0
Wind Power plant 1,G_elec,343,100.0
Wind Power plant 1,G_elec,344,100.0
Wind Power plant 1,G_elec,345,100.0
Wind Power plant 1,G_elec,346,100.0
Wind Power plant 1,G_elec,347,100.0
Wind Power plant 1,G_elec,348,100.0
Wind Power plant 1,G_elec,349,100.0
Wind Power plant 1,G_elec,350,100.0
Wind Power plant 1,G_elec,351,100.0
Wind Power plant 1,G_elec,352,100.0
Wind Power plant 1,G_elec,353,100.0
Wind Power plant 1,G_elec,354,100.0
Wind Power plant 1,G_elec,355,100.0
Wind Power plant 1,G_elec,356,100.0
Wind Power plant 1,G_elec,357,100.0
Wind Power plant 1,G_elec,358,100.0
Wind Power plant 1,G_elec,359,100.0
Wind Power plant 1,G_elec,360,100.0
Wind Power plant 1,G_elec,361,100.0
Wind Power plant 1,G_elec,362,100.0
Wind Power plant 1,G_elec,363,100.0
Wind Power plant 1,G_elec,364,100.0
Wind Power plant 1,G_elec,365,100.0
Wind Power plant 1,G_elec,366,100.0
Wind Power plant 1,G_elec,367,100.0
Wind Power plant 1,G_elec,368,100.0
Wind Power plant 1,G_elec,369,100.0
Wind Power plant 1,G_elec,370,100.0
Wind Power plant 1,G_elec,371,100.0
Wind Power plant 1,G_elec,372,100.0
Wind Power plant 1,G_elec,373,100.0
Wind Power plant 1,G_elec,374,100.0
Wind Power plant 1,G_elec,375,100.0
Wind Power plant 1,G_elec,376,100.0
Wind Power plant 1,G_elec,377,100.0
Wind Power plant 1,G_elec,378,100.0
Wind Power plant 1,G_elec,379,100.0
Wind Power plant 1,G_elec,380,100.0
Wind Power plant 1,G_elec,381,100.0
Wind Power plant 1,G_elec,382,100.0
Wind Power plant 1,G_elec,383,100.0
Wind Power plant 1,G_elec,384,100.0
Wind Power plant 1,G_elec,385,100.0
Wind Power plant 1,G_elec,386,100.0
Wind Power plant 1,G_elec,387,100.0
Wind Power plant 1,G_elec,388,100.0
Wind Power plant 1,G_elec,389,100.0
Wind Power plant 1,G_elec,390,100.0
Wind Power plant 1,G_elec,391,100.0
Wind Power plant 1,G_elec,392,100.0
Wind Power plant 1,G_elec,393,100.0
Wind Power plant 1,G_elec,394,100.0
Wind Power plant 1,G_elec,395,100.0
Wind Power plant 1,G_elec,396,100.0
Wind Power plant 1,G_elec,397,100.0
Wind Power plant 1,G_elec,398,100.0
Wind Power plant 1,G_elec,399,100.0
Wind Power plant 1,G_elec,400,100.0
Wind Power plant 1,G_elec,401,100.0
Wind Power plant 1,G_elec,402,100.0
Wind Power plant 1,G_elec,403,100.0
Wind Power plant 1,G_elec,404,100.0
Wind Power plant 1,G_elec,405,100.0
Wind Power plant 1,G_elec,406,100.0
Wind Power plant 1,G_elec,407,100.0
