http://wwwi2.ymparisto.fi/i2/95/prev_week_e.txt accessed 2023-05-09
 
 Weekly inflow energy  for Finland
 Week 18
 
   Day    GWh/Week   Obs%
 20230501  483.08   98.44  +
 20230502  507.38   98.44  +
 20230503  551.70   98.44  +
 20230504  576.99   98.44  +
 20230505  584.35   98.44  +
 20230506  585.06   96.88  +
 20230507  560.82   96.88  +
 
 Each value is the inflow energy for last 7 day period.
 The inflow energy for the week 18 is
 560.82  GWh.
 
  
  Inflow energy for Finland (GWh/Week)
  Min, max and median values are for the period 1978-2014
      2023  2022
 mmdd   GWh   GWh  Median  Min    Max
 0804   -     204  144.8   30.4  418.6
 0805   -     202  146.0   29.6  399.4
 0806   -     204  146.8   24.9  378.1
 0807   -     200  146.9   20.5  364.6
 0808   -     197  150.9   20.9  365.7
 0809   -     195  154.3   20.6  372.1
 0810   -     191  159.3   19.3  377.6
 0811   -     197  157.5   17.5  388.3
 0812   -     198  157.6   18.1  392.4
 0813   -     177  154.3   21.5  392.2
 0814   -     169  155.2   26.2  380.9
 0815   -     162  152.8   26.4  391.1
 0816   -     167  153.5   27.1  420.4
 0817   -     154  153.2   28.0  475.1
 0818   -     150  153.6   30.4  518.5
 0819   -     160  152.0   33.8  557.8
 0820   -     177  150.3   36.0  588.8
 0821   -     178  147.2   36.7  611.2
 0822   -     174  146.5   34.5  609.6
 0823   -     160  145.9   27.9  589.7
 0824   -     154  146.7   23.4  556.1
 0825   -     143  146.0   20.4  521.6
 0826   -     139  146.6   19.6  482.4
 0827   -     131  145.0   20.4  453.3
 0828   -     124  143.2   24.1  433.1
 0829   -     136  139.3   31.8  421.1
 0830   -     131  138.1   42.0  406.7
 0831   -     118  137.3   50.4  404.7
 0901   -     106  139.4   53.9  420.0
 0902   -      92  137.5   55.0  448.9
 0903   -      78  135.4   50.1  477.7
 0904   -      64  132.7   45.3  499.1
 0905   -      45  130.7   40.4  513.6
 0906   -      53  127.3   37.6  531.7
 0907   -      49  123.1   39.0  559.9
 0908   -      49  122.9   39.9  593.3
 0909   -      60  124.5   45.7  621.4
 0910   -      60  127.0   51.2  630.4
 0911   -      65  128.2   51.1  624.6
 0912   -      71  134.0   55.2  602.1
 0913   -      80  138.9   58.1  569.5
